Date,Title,Price,Currency,Buyer,Status
2026-03-23,"Lizard ring",7.50,EUR,vronitopski,Versandschein wurde an den Verkäufer geschickt.
2026-03-23,"Ocean T-shirt",12.50,EUR,sba1068,Sendung verschickt und auf dem Weg!
2026-03-15,"Frosch ringe",5.50,EUR,mmadsi,Transaktion erfolgreich beendet.
2026-03-15,"Vintage Seahorse Ring",6.50,EUR,milayay,Transaktion erfolgreich beendet.
2026-03-15,"Vintage Mausring",6.00,EUR,c_kiara,Sendung liegt zur Abholung bereit.
2026-03-14,"Vintage fish ring",8.00,EUR,kathipk75,Rücksendung zum Absender
2026-03-14,"Vintage monkey ring",8.00,EUR,inani9,Sendung verschickt und auf dem Weg!
2026-03-13,"Vintage lizard ring",8.00,EUR,kathisellsstuff,Transaktion erfolgreich beendet.
2026-03-13,"Paket 2 Artikel",10.00,EUR,tinaz181,Transaktion erfolgreich beendet.
2026-03-13,"Vintage Fish ring",5.50,EUR,reggie_scr,Sendung liegt zur Abholung bereit.
2026-03-08,"Cat BookMark",8.00,EUR,toterwinkel,Transaktion erfolgreich beendet.
2026-03-08,"Rokr Marble Run Night City LGA01",38.00,EUR,laulau200,Transaktion erfolgreich beendet.
2026-03-08,"Rolife Vintage Car TG504",12.00,EUR,nathajg,Transaktion erfolgreich beendet.
2026-03-05,"Tote bag",12.00,EUR,vanessaa_05,Transaktion erfolgreich beendet.
2026-03-05,"Cat stickers",4.99,EUR,theresadino,Transaktion erfolgreich beendet.
2026-03-03,"Cat Bookmark and 6 book clips",10.00,EUR,qrxmarie,Transaktion erfolgreich beendet.
2026-03-02,"Cat stickera",5.00,EUR,jaqkre,Transaktion erfolgreich beendet.
2026-03-01,"Van Gogh coasters",10.00,EUR,farbrauschen,Transaktion erfolgreich beendet.
2026-03-01,"Water bottle",19.00,EUR,anna.hcstgr,Transaktion erfolgreich beendet.
2026-02-27,"Van Gogh, coasters",10.00,EUR,steuerfrau61,Transaktion erfolgreich beendet.
2026-02-14,"Cat Coasters",8.00,EUR,mama-miezemau,Transaktion erfolgreich beendet.
2026-01-17,"Rolife Music Dreamer Classic Carousel AMC01",43.00,EUR,alexandra682711,Transaktion erfolgreich beendet.
2026-01-16,"2 gopro sleeve lanyard hero8 black and white",12.00,EUR,fclbono,Transaktion erfolgreich beendet.
2026-01-16,"Tea Coasters- cat pettern",7.00,EUR,fizzl123,Transaktion erfolgreich beendet.
2026-01-11,"Rolife Book Nook Sakura Densya TGB01",38.00,EUR,fabreiris,Transaktion erfolgreich beendet.
2026-01-03,"Tea coasters- cat themed",8.00,EUR,nabegu,Transaktion erfolgreich beendet.
2026-01-03,"Patterned water bottle",30.00,EUR,vanii753,Rückerstattung erfolgreich.
2026-01-03,"INSTA 360 Dive Case für Insta360 ONE R 4K Edition",33.00,EUR,cedricponti,Transaktion erfolgreich beendet.
2026-01-01,"Rolife Book Nook Sakura Densya TGB01",37.00,EUR,nanafg,Rückerstattung erfolgreich.
2025-12-21,"Rolife Book Nook Sakura Densya TGB01",40.00,EUR,cametleons,Automatische Rückerstattung erfolgreich!
2025-11-16,"Rokr Racing Car LK505",36.00,EUR,preda_andra,Automatische Rückerstattung erfolgreich!
2025-11-12,"Rolife Book Nook Sakura Densya TGB01",34.00,EUR,gc17,Automatische Rückerstattung erfolgreich!
2025-11-06,"Rolife Book Nook Sakura Densya TGB01",32.00,EUR,sofia.onorini,Rückerstattung erfolgreich.
2025-09-10,"Rolife Book Nook Century Train TGE01",27.00,EUR,8egg,Automatische Rückerstattung erfolgreich!
2025-09-01,"Rolife Book Nook Sakura Densya TGB01",31.00,EUR,roger5104,Transaktion erfolgreich beendet.
2025-08-28,"INSTA 360 Lithium-Polymer-Batterie für ONE X2",22.00,EUR,zamboo01,Transaktion erfolgreich beendet.